ID,Title,Rating,tags
2248,Intersection-of-Multiple-Arrays,1264,Array;Hash Table;Sorting;Counting
2133,Check-if-Every-Row-and-Column-Contains-All-Numbers,1264,Array;Hash Table;Matrix
1456,Maximum-Number-of-Vowels-in-a-Substring-of-Given-Length,1263,String;Sliding Window
2490,Circular-Sentence,1262,String
3159,Find-Occurrences-of-an-Element-in-an-Array,1262,Array;Hash Table
1089,Duplicate-Zeros,1262,Array;Two Pointers
2739,Total-Distance-Traveled,1262,Math;Simulation
2144,Minimum-Cost-of-Buying-Candies-With-Discount,1260,Array;Greedy;Sorting
2255,Count-Prefixes-of-a-Given-String,1260,Array;String
2520,Count-the-Digits-That-Divide-a-Number,1260,Math
1305,All-Elements-in-Two-Binary-Search-Trees,1260,Tree;Depth-First Search;Binary Search Tree;Sorting;Binary Tree
2562,Find-the-Array-Concatenation-Value,1259,Array;Two Pointers;Simulation
1779,Find-Nearest-Point-That-Has-the-Same-X-or-Y-Coordinate,1259,Array
884,Uncommon-Words-from-Two-Sentences,1259,Hash Table;String;Counting
2404,Most-Frequent-Even-Element,1259,Array;Hash Table;Counting
1213,Intersection-of-Three-Sorted-Arrays,1259,Array;Hash Table;Binary Search;Counting
867,Transpose-Matrix,1258,Array;Matrix;Simulation
896,Monotonic-Array,1258,Array
3258,Count-Substrings-That-Satisfy-K-Constraint-I,1258,
2644,Find-the-Maximum-Divisibility-Score,1257,Array
2103,Rings-and-Rods,1257,Hash Table;String
1356,Sort-Integers-by-The-Number-of-1-Bits,1257,Array;Bit Manipulation;Sorting;Counting
1309,Decrypt-String-from-Alphabet-to-Integer-Mapping,1257,String
2114,Maximum-Number-of-Words-Found-in-Sentences,1257,Array;String
2042,Check-if-Numbers-Are-Ascending-in-a-Sentence,1257,String
2177,Find-Three-Consecutive-Integers-That-Sum-to-a-Given-Number,1257,Math;Simulation
2180,Count-Integers-With-Even-Digit-Sum,1257,Math;Simulation
1732,Find-the-Highest-Altitude,1256,Array;Prefix Sum
3379,Transformed-Array,1256,Array;Simulation
1085,Sum-of-Digits-in-the-Minimum-Number,1256,Array;Math
2239,Find-Closest-Number-to-Zero,1256,Array
1037,Valid-Boomerang,1255,Array;Math;Geometry
2475,Number-of-Unequal-Triplets-in-Array,1255,Array;Hash Table;Sorting
3178,Find-the-Child-Who-Has-the-Ball-After-K-Seconds,1255,Math;Simulation
3386,Button-with-Longest-Push-Time,1255,Array
3174,Clear-Digits,1255,String;Stack;Simulation
1945,Sum-of-Digits-of-String-After-Convert,1254,String;Simulation
2908,Minimum-Sum-of-Mountain-Triplets-I,1253,Array
2283,Check-if-Number-Has-Equal-Digit-Count-and-Digit-Value,1253,Hash Table;String;Counting
2194,Cells-in-a-Range-on-an-Excel-Sheet,1253,String
2186,Minimum-Number-of-Steps-to-Make-Two-Strings-Anagram-II,1253,Hash Table;String;Counting
2164,Sort-Even-and-Odd-Indices-Independently,1252,Array;Sorting
1833,Maximum-Ice-Cream-Bars,1252,Array;Greedy;Sorting;Counting Sort
830,Positions-of-Large-Groups,1251,String
2315,Count-Asterisks,1250,String
2465,Number-of-Distinct-Averages,1250,Array;Hash Table;Two Pointers;Sorting
1150,Check-If-a-Number-Is-Majority-Element-in-a-Sorted-Array,1249,Array;Binary Search
1161,Maximum-Level-Sum-of-a-Binary-Tree,1249,Tree;Depth-First Search;Breadth-First Search;Binary Tree
2395,Find-Subarrays-With-Equal-Sum,1249,Array;Hash Table
3000,Maximum-Area-of-Longest-Diagonal-Rectangle,1249,Array
2540,Minimum-Common-Value,1249,Array;Hash Table;Two Pointers;Binary Search
3136,Valid-Word,1249,String
766,Toeplitz-Matrix,1249,Array;Matrix
